Time (s),Series 1 Position (mm),Series 1 Velocity (mm/s),Series 2 Position (mm),Series 2 Velocity (mm/s),Series 3 Position (mm),Series 3 Velocity (mm/s)
0.20000000000000284,200,0,202,0,223.97,-1.85
0.19999999999998863,200,0,202,0,223.61,-1.56
0.20000000000000284,200,0,202,0,223.35,-0.98
0.20000000000000284,200,0,202,0,223.22,-0.44
0.20000000000000284,200,1.42,202,0,223.18,-0.25
0.20000000000000284,200.57,6.72,202,0,223.12,-0.51
0.19999999999998863,202.69,10.02,202,0,222.97,-0.97
0.20000000000000284,204.58,8.63,202,0,222.73,-1.2
0.20000000000000284,206.14,7.43,202,0,222.49,-0.82
0.20000000000000284,207.55,7.23,202,0,222.4,0.26
0.20000000000000284,209.03,7.81,202,0,222.6,1.82
0.19999999999998863,210.68,8.55,202,0.34,223.13,3.33
0.20000000000000284,212.45,9.01,202.14,8.03,223.93,4.34
0.20000000000000284,214.28,9.17,205.21,15.51,224.86,4.73
0.20000000000000284,216.12,9.2,208.34,16.35,225.82,4.76
0.20000000000000284,217.96,9.21,211.76,17.85,226.77,4.82
0.19999999999998863,219.8,9.2,215.48,18.67,227.75,5.09
0.20000000000000284,221.64,9.02,219.22,17.73,228.8,5.47
0.20000000000000284,223.41,8.53,222.57,15.28,229.93,5.61
0.20000000000000284,225.05,7.77,225.34,12.8,231.05,5.25
0.20000000000000284,226.52,7,227.69,11.69,232.04,4.5
0.19999999999998863,227.85,6.41,230.01,11.91,232.85,3.71
0.20000000000000284,229.09,5.93,232.46,12.18,233.52,3.14
0.20000000000000284,230.22,5.23,234.88,11.49,234.1,2.73
0.20000000000000284,231.18,4.15,237.05,9.92,234.61,2.2
0.20000000000000284,231.88,2.99,238.85,8.06,234.98,1.4
0.19999999999998863,232.37,2.19,240.28,6.27,235.17,0.44
0.20000000000000284,232.76,1.99,241.36,4.61,235.16,-0.31
0.20000000000000284,233.17,2.18,242.12,3.26,235.05,-0.53
0.20000000000000284,233.63,2.34,242.66,2.53,234.95,-0.27
0.20000000000000284,234.1,2.17,243.13,2.45,234.94,0.15
0.19999999999998863,234.5,1.67,243.64,2.65,235.01,0.44
0.20000000000000284,234.77,1.12,244.19,2.64,235.12,0.54
0.20000000000000284,234.95,0.8,244.7,2.25,235.22,0.49
0.20000000000000284,235.09,0.79,245.09,1.66,235.31,0.41
0.20000000000000284,235.26,0.96,245.36,1.21,235.39,0.38
0.19999999999998863,235.47,1.09,245.57,1.06,235.46,0.42
0.20000000000000284,235.7,1.12,245.79,1.09,235.55,0.45
0.20000000000000284,235.92,1.07,246.01,1.09,235.64,0.38
0.20000000000000284,236.13,0.95,246.22,0.86,235.71,0.21
0.20000000000000284,236.3,0.75,246.35,0.22,235.73,0.06
0.19999999999998863,236.42,0.56,246.31,-0.74,235.73,-0
0.20000000000000284,236.52,0.49,246.05,-1.43,235.73,-0.01
0.20000000000000284,236.62,0.55,245.73,-1.23,235.73,-0.03
0.20000000000000284,236.74,0.64,245.56,-0.24,235.72,-0.1
0.20000000000000284,236.88,0.64,245.64,0.82,235.68,-0.22
0.19999999999998863,237,0.57,245.89,1.38,235.63,-0.31
0.20000000000000284,237.1,0.55,246.19,1.38,235.56,-0.26
0.20000000000000284,237.22,0.7,246.44,1.14,235.52,-0.02
0.20000000000000284,237.39,0.96,246.64,1.07,235.55,0.31
0.20000000000000284,237.61,1.12,246.87,1.37,235.65,0.54
0.19999999999998863,237.83,1.03,247.19,1.9,235.77,0.48
0.20000000000000284,238.02,0.8,247.63,2.02,235.84,0.21
0.20000000000000284,238.15,0.7,248,0.93,235.85,-0.08
0.20000000000000284,238.3,0.84,248,0,235.81,-0.23
0.20000000000000284,238.49,1.08,248,0,235.76,-0.19
0.19999999999998863,238.73,1.23,248,0,235.74,0.11
0.20000000000000284,238.98,1.25,248,0,235.8,0.68
0.20000000000000284,239.23,1.25,248,0,236.01,1.43
0.20000000000000284,239.48,1.36,248,0,236.37,2.19
0.20000000000000284,239.77,1.62,248,0,236.88,2.73
0.19999999999998863,240.13,2.01,248,0,237.47,2.83
0.20000000000000284,240.57,2.4,248,0,238.01,2.35
0.20000000000000284,241.09,2.51,248,0,238.41,1.43
0.20000000000000284,241.58,2.15,248,0,238.58,0.38
0.20000000000000284,241.94,1.45,248,0,238.56,-0.47
0.19999999999998863,242.16,0.82,248,0,238.4,-0.98
0.20000000000000284,242.27,0.4,248,0,238.17,-0.33
0.20000000000000284,242.32,1.03,248,0,238.26,0.19
0.20000000000000284,242.69,1.69,248,0,238.25,-0.33
0.20000000000000284,242.99,1.07,248,0,238.13,-1.08
0.19999999999998863,243.11,-0.29,248,0,237.81,-2.31
0.20000000000000284,242.88,-2.29,248,0,237.21,-3.79
0.20000000000000284,242.2,-4.4,248,0,236.3,-5.05
0.20000000000000284,241.12,-5.97,248,-1.77,235.19,-5.54
0.20000000000000284,239.81,-6.74,247.29,-4.17,234.08,-5.09
0.19999999999998863,238.43,-6.82,246.33,-5.13,233.15,-4.11
0.20000000000000284,237.08,-6.55,245.24,-6.15,232.44,-3.24
0.20000000000000284,235.81,-6.3,243.87,-7.34,231.86,-2.78
0.20000000000000284,234.56,-6.32,242.3,-7.92,231.33,-2.6
0.20000000000000284,233.28,-6.69,240.7,-7.99,230.82,-2.43
0.19999999999998863,231.89,-7.24,239.11,-8.47,230.35,-2.15
